"542","41","8","5"
"543","41","9","6"
"544","41","10","7"
"545","41","138","8"
"546","41","214","9"
"547","41","714","10"
"548","41","13","11"
"549","41","14","12"
"550","41","15","13"
"551","41","16","14"
"552","41","17","15"
"553","42","669","0"
"554","42","670","1"
"555","42","671","2"
"556","42","672","3"
"557","42","149","4"
"558","42","150","5"
"559","42","151","6"
"560","42","152","7"
"561","42","153","8"
"562","42","154","9"
"563","42","155","10"
"564","42","42","11"
"565","42","68","12"
"566","42","69","13"
"567","42","70","14"
"568","42","71","15"
"569","42","72","16"
"570","42","73","17"
"571","42","74","18"
"572","42","75","19"
"573","42","131","20"
"574","42","51","21"
"575","43","124","0"
"576","43","364","1"
"577","43","120","2"
"578","43","121","3"
"579","43","220","4"
"580","43","221","5"
"581","43","222","6"
"582","43","127","7"
"583","43","128","8"
"584","43","129","9"
"585","43","529","10"
"586","43","530","11"
"587","43","531","12"
"588","43","539","13"
"589","43","540","14"
"590","43","47","15"
"591","43","49","16"
"592","43","131","17"
"593","43","51","18"
"594","44","314","0"
"595","44","554","1"
"596","44","638","2"
"597","44","656","3"
"598","44","319","4"
"599","44","320","5"
"600","44","321","6"
"601","44","322","7"
"602","44","323","8"
"603","44","688","9"
"604","44","689","10"
"605","44","591","11"
"606","44","43","12"
"607","44","44","13"
"608","44","45","14"
"609","44","252","15"
"610","44","254","16"
"611","44","47","17"
"612","44","49","18"
"613","44","131","19"
"614","44","51","20"
"615","62","583","0"
"616","62","582","1"
"617","66","583","0"
"618","66","582","1"
"619","96","583","0"
"620","96","582","1"
